Bird,Mother,Father,Morph,Mass_tot,Mass_Tube,Mass_mg,Mass_g,Volume_ml,Astaxanthin,Lutein,Zeaxanthin,A-doredoxanthin,Adonirubin,Anhydrolutein,Canary xanthophylls,Beta-cryptoxanthin,Lycopene,Beta-carotene,Astaxanthin_st,Lutein_st,Zeaxanthin_st,A-doredoxanthin_st,Adonirubin_st,Anhydrolutein_st,Canary xanthophylls_st,Beta-cryptoxanthin_st,Lycopene_st,Beta-carotene_st,Total_st,Astaxanthin_Perc,Lutein_Perc,Zeaxanthin_Perc,A-doredoxanthin_Perc,Adonirubin_Perc,Anhydrolutein_Perc,Canary xanthophylls_Perc,Beta-cryptoxanthin_Perc,Lycopene_Perc,Beta-carotene_Perc
Y651,hecki,hecki,Red,960.924,954.256,6.668,0.006668,0.2,3.1357,0.5601,0.2668,0.6581,1.4416,0.5688,0,0.023,0.169,0.0655,94.05218956,16.79964007,8.00239952,19.73905219,43.23935213,17.06058788,0,0.689862028,5.068986203,1.964607079,206.6166767,0.455201347,0.081308248,0.038730656,0.095534651,0.209273292,0.082571205,0,0.00333885,0.024533287,0.009508463
Y742,hecki,hecki,Red,976.062,965.295,10.767,0.010767,0.2,5.0262,0.0891,0.2567,0.3838,1.4477,0.4705,0,0.0167,0.0857,0.0312,93.36305378,1.655057119,4.768273428,7.129191047,26.89142751,8.739667503,0,0.310207114,1.59190118,0.579548621,145.0283273,0.643757365,0.011411958,0.032878221,0.049157231,0.185421897,0.060261796,0,0.002138942,0.010976484,0.003996106
Y1241,hecki,hecki,Red,968.011,952.847,15.164,0.015164,0.2,7.1218,0.4187,0.3856,0.5927,2.2197,0.9019,0,0.0362,0.1313,0.09,93.93036138,5.522289633,5.085729359,7.817198628,29.27591664,11.89527829,0,0.477446584,1.731733052,1.187021894,156.9229755,0.598576219,0.035191084,0.032409081,0.049815514,0.186562335,0.075803293,0,0.003042554,0.011035561,0.00756436
Y1042,hecki,hecki,Red,962.4,952.55,9.85,0.00985,0.2,3.5378,0.1983,0.1791,0.1732,0.8685,0.3215,0,0,0.0585,0.0167,71.83350254,4.026395939,3.636548223,3.516751269,17.63451777,6.527918782,0,0,1.187817259,0.339086294,108.7025381,0.66082636,0.037040496,0.033454124,0.032352062,0.162227286,0.060053048,0,0,0.010927227,0.003119396
W1235,hecki,hecki,Red,960.6,952.1,8.5,0.0085,0.2,1.8752,0.0966,0.0814,0.0875,0.4632,0.1699,0,0.004,0.0357,0.0037,44.12235294,2.272941176,1.915294118,2.058823529,10.89882353,3.997647059,0,0.094117647,0.84,0.087058824,66.28705882,0.665625444,0.034289365,0.028893937,0.031059208,0.164418572,0.060308107,0,0.001419849,0.012672157,0.001313361
Y1149,acuticauda,acuticauda,Yellow,958.282,951.9,6.382,0.006382,0.2,0,0.0325,0.1351,0,0.0157,0.0419,0.0199,0.0916,0.0453,0.0008,0,1.018489502,4.233782513,0,0.492008775,1.313068004,0.623628956,2.870573488,1.419617675,0.025070511,11.99623942,0,0.084900731,0.35292581,0,0.041013584,0.109456635,0.051985371,0.239289446,0.118338558,0.002089864
Y1152,acuticauda,acuticauda,Yellow,950.177,945.5,4.677,0.004677,0.2,0,0.0437,0.2432,0.0217,0.0428,0.0582,0.0195,0.0769,0.0612,0.0084,0,1.868719264,10.39982895,0.927945264,1.830233055,2.488774856,0.833867864,3.288432756,2.617062219,0.359204618,24.61406885,0,0.075920778,0.422515636,0.037699792,0.074357192,0.101111883,0.033877693,0.133599722,0.106323836,0.014593468
Y1231,acuticauda,acuticauda,Yellow,976.63,968.1,8.53,0.00853,0.2,0,0.0282,0.0768,0,0.0111,0.037,0.0184,0.0345,0.0379,0,0,0.66119578,1.8007034,0,0.260257913,0.867526377,0.431418523,0.80890973,0.88862837,0,5.718640094,0,0.115621156,0.314883149,0,0.045510455,0.151701517,0.075440754,0.141451415,0.155391554,0
Y633,acuticauda,acuticauda,Yellow,976.4,970.6,5.8,0.0058,0.2,0,0.0748,0.4897,0,0.057,0.0863,0.0274,0.1099,0.0784,0.0155,0,2.579310345,16.8862069,0,1.965517241,2.975862069,0.944827586,3.789655172,2.703448276,0.534482759,32.37931034,0,0.079659212,0.521512247,0,0.060702875,0.091906283,0.029179979,0.117039404,0.083493078,0.016506922
Y1437,acuticauda,acuticauda,Yellow,978.7,965.4,13.3,0.0133,0.2,0.0114,0.0883,0.5319,0,0.0429,0.0988,0.0403,0.2204,0.152,0.0493,0.171428571,1.327819549,7.998496241,0,0.645112782,1.485714286,0.606015038,3.314285714,2.285714286,0.741353383,18.57593985,0.009228527,0.071480612,0.430583664,0,0.034728406,0.079980572,0.032623654,0.178418198,0.123047033,0.039909334